Session ID,Video ID,Target Emotion,Title of Video Clip,Time Duration (secs),Active Link of Video
1,1,happy,Best Babies Laughing Video Compilation,39,https://drive.google.com/file/d/1ZWD1zyWkHcBI0nP-3Hv_-POzLa7Fe6oH/view?usp=sharing
1,2,sad,Barely There,39,https://drive.google.com/file/d/13ysQgSsBwy3d8vBLYwimdHYkHUJ0zTc3/view?usp=sharing
1,3,neutral,Denali National Park Alaska,39,https://drive.google.com/file/d/1En_ARj18JlBLPx_JWCqb6PQpLsEdsEoX/view?usp=sharing
1,4,surprise,World's Highest Commercially Rafted Waterfall,39,https://drive.google.com/file/d/1kCIHXEklgpWdsPy53sov9t3kfKbLJBze/view?usp=sharing
1,5,disgust,Disgusting video compilation,39,https://drive.google.com/file/d/1mclmT0EAA-oZ6IkhsvxXWmgriWFBGdJ6/view?usp=sharing
1,6,anger,Triggering OCD part1,39,https://drive.google.com/file/d/11IpG42MIEXq9Sm6g-18C8tJES2d1BM-o/view?usp=sharing
1,7,fear,Horror scene from Diet,39,https://drive.google.com/file/d/1tHRYP-PECkpWrpGPnPUO42G1jjcJm6TE/view?usp=sharing
2,1,happy,Funny babies,39,https://drive.google.com/file/d/1fbsdJXsW1vhtK5ULX92w6A_gxCb8Fub9/view?usp=sharing
2,2,sad,Life is beautiful,39,https://drive.google.com/file/d/1_MF4v3ykVTAe5P46oxRtN007PA-B9B4Y/view?usp=sharing
2,3,neutral,Abstract shapes,39,https://drive.google.com/file/d/1IOeMoQMFm-lIh76fEXQWqQh3d_-FsRqF/view?usp=sharing
2,4,surprise,Bungy jump,39,https://drive.google.com/file/d/1djTUEtPYbKshh2J14abG9za0Lmg0vcDd/view?usp=sharing
2,5,disgust,Cleaning an OPEN diabetic ulcer,39,https://drive.google.com/file/d/1Odg_ovW2XdDHo0YKaaqrBb0XlfherbZT/view?usp=sharing
2,6,anger,Schindler's List Immolation Scene,39,https://drive.google.com/file/d/13VdjolMcqVhg7cscA9Cyjl9DgjnN4UvY/view?usp=sharing
2,7,fear,The moonlight man,39,https://drive.google.com/file/d/1O-oGtZmpnry4uIGo6RwxkQDdioS91MVu/view?usp=sharing
3,1,happy,Funny panda video,39,https://drive.google.com/file/d/1Lm4a5EhvbMgUF8d32PZ4FVLF3S0sOEPD/view?usp=sharing
3,2,sad,Painist,39,https://drive.google.com/file/d/1rwet22_JppVD35AQlNizCXIWNsMwv2JE/view?usp=sharing
3,3,neutral,Color bars,39,https://drive.google.com/file/d/1KjbdaDV7BQO7ECPOvaNRy_3evrAVZI-L/view?usp=sharing
3,4,surprise,Alpha jetman,39,https://drive.google.com/file/d/1K3Sljp9xBOopnA1LcHY4XCURvLawMFoG/view?usp=sharing
3,5,disgust,Disgusting eating,39,https://drive.google.com/file/d/1wrv3oyjCaKjymaOu0xyCYAU3eHbcSwJ5/view?usp=sharing
3,6,anger,Kashmir protest,39,https://drive.google.com/file/d/1pnA4yMIbxxKt3rTohp6t4VJi-znfJPiw/view?usp=sharing
3,7,fear,Whisper,39,https://drive.google.com/file/d/1Hajmv0OrbVrUzTM4Q86q_tdJa_7M6RcH/view?usp=sharing
